"_type","availability","category","list_price","name","part_number","price","quantity","rating","rating_count","seller","subcategory","thirdparty","uom"
"ProductItem","1","Horses","","Durvetequine DPopper Mints Horse Treats Peppermint 5 Pound","26443797","18.57","5.0","","","Piccard meds 4 pets Corp","Horse Supplies","true","lb"
"ProductItem","1","Horses","","Durvetequine DPopper Mints Horse Treats Peppermint 5 Pound","26443797","10.24","5.0","","","Ablackhorse","Horse Supplies","true","lb"
"ProductItem","1","Horses","","Durvetequine DPopper Mints Horse Treats Peppermint 5 Pound","26443797","21.26","5.0","","","ProMax Commerce","Horse Supplies","true","lb"
"ProductItem","1","Horses","","Durvetequine DPopper Mints Horse Treats Peppermint 5 Pound","26443797","23.09","5.0","","","VirVentures","Horse Supplies","true","lb"
"ProductItem","1","Dogs","","Durvetequine DPopper Mints Horse Treats Peppermint 12 Ounce","26443801","10.92","12.0","","","ProMax Commerce","Dog Food & Treats","true","oz"
"ProductItem","1","Horses","","Animal Health International 200272 Horse Dewormer MultiDose AppleFlavor Paste 472gm","26443806","16.24","","","","Piccard meds 4 pets Corp","Horse Health Care","true",""
"ProductItem","1","Horses","","Animal Health International 200272 Horse Dewormer MultiDose AppleFlavor Paste 472gm","26443806","18.99","","","","Santa Cruz Animal Health","Horse Health Care","true",""
"ProductItem","1","Horses","","Animal Health International 200272 Horse Dewormer MultiDose AppleFlavor Paste 472gm","26443806","21.64","","","","Rons Home and Hardware","Horse Health Care","true",""
"ProductItem","1","Horses","","Animal Health International 200272 Horse Dewormer MultiDose AppleFlavor Paste 472gm","26443806","24.99","","","","K Hardware","Horse Health Care","true",""
"ProductItem","1","Horses","","Animal Health International 200272 Horse Dewormer MultiDose AppleFlavor Paste 472gm","26443806","25.62","","","","AimToFind","Horse Health Care","true",""
"ProductItem","1","Horses","","Animal Health International 200272 Horse Dewormer MultiDose AppleFlavor Paste 472gm","26443806","28.85","","","","Champion Values","Horse Health Care","true",""
"ProductItem","1","Horses","","Durvetequine Bimectin Paste 6 08 Gram 0011BIM004","26443815","3.89","8.0","","","Jeffers","Horse Supplies","true","g"
